bgg_id,name
671,Orca Games Ltd
672,"Family Games, Inc."
673,Severn Leisure
674,Discovery Games
675,Oliver Games
676,Tiger Electronics
677,RDA Marketing
678,"Dimension Six, Inc."
679,Group Therapy Associates
680,Park Plastics
681,D&L Company
682,VCR Enterprises
683,Questique Internationale
684,Harper & Row
685,Bellew Publishing Co.
686,Aristoplay
687,Sheffield YMCA
688,New World Games (I)
689,Rostherne Games
690,Berwick's Toy Co. Ltd.
691,David Westnedge
692,Adventure Games
694,Oxygame
695,Essex Game Co.
696,Pair-of-Dice Games
697,DaMert Company
698,JK Games
699,Shipps Ltd.
701,The Game Dealers Ltd.
704,United Soft Media (USM)
705,ADAM Spielt OHG
706,Halloween Concept
707,House of Slack Games
708,Thomas Säckl Spiele
709,Die Wuselmäuse
710,Majestic Twelve Games
711,The Really Useful Games Co.
712,Woodrush Games
713,Frank Beat Keller
714,MMG Ltd.
716,Grünspan-Spiele
717,Whitman Golden Ltd.
718,"Relationship Enrichment Systems, Inc."
719,Zoltan Bartok
721,H. Fries Spiele
722,Warmasters
723,NBC
724,Creative Mind Games
725,Xeno Games
727,Parodice Games
729,"Wired Electronic Entertainment, Inc."
730,"Legendary Games, Inc."
731,F. & R. Lockwood
732,Trioview Ltd.
733,Heritage Toy & Game Co. Ltd.
734,LEGO
735,Saller & Brunner Verlag
738,Talicor/Aristoplay
739,Polina
740,Centre of Prospective Projects
742,Spencer-Murray Corporation
743,Searchglen
745,Virgin Games Inc.
746,The Games Team Ltd.
747,Windy Ways Games Pty Ltd
748,Hain Bros.
749,"Eddie's Games, Inc."
751,Spy Alley Partners LLP
752,GAMES Magazine
753,Microcosm Games
754,"Boardroom Productions, Ltd."
755,Carrom Company
756,S.O.B. of Montana
757,Hammerhead Enterprises
758,Interactive Imagination Corporation
759,Two Giraffe
760,Blackout Editrice (Italy)
761,Heye Verlag
762,Capital Games Ltd
764,"Phadd-Tac, Inc."
765,Educational Insights
766,ASL Pastimes Limited
767,Villa Games
768,Templum
769,Ars Ludi
770,Cool Studio
771,Right Stuf
772,(Looking for a publisher)
773,Inauen Spiele
774,Greystone
776,Die Spiele Agentur
777,Simba Toys
778,Connections International (Europe) Ltd
779,Paradigm Games Ltd
780,EKOS
781,Kaos Toys
782,Peter Pan Playthings
783,Crown Games
784,Brand Makers International
785,SJB Products
786,Gazebo Games UK Ltd.
787,EMS
788,Alien Menace
789,Classic Games
792,Crown & Andrews Ltd.
793,La Mèche Rebelle Editions
795,Chaos Games Ltd.
797,"Oxford Games, Ltd."
798,Historical Collections Group plc
799,Past Times
800,Kheper Games
801,Freeman-Hawkins Games
802,Azar
804,Oberon Games
805,Daedalus
806,Topps
807,Mondadori Giochi
808,Epta
810,Giocofollia
811,Mag Force 7
812,White Buffalo
813,Card Sharks
814,Quality Games
815,Meteor Verlagsgesellschaft
816,Camelot
817,George & Company
818,Torchlight Games
819,B. E. Game Corp
820,Dream Green
822,DMR Games
823,"Random House, Inc."
824,Great Games Pty. Ltd
825,Prim-Ed Publishing
826,Mind Movers Limited
827,Grass Roots Games Inc
828,Tamara Toys
829,Earth Design Systems (EDS GAMES)
830,TooDoo Editions
831,"Fantasm Sports, Inc."
832,Chivalry Games
833,Green Dragon Creations
834,RAK Graphics
835,Ludopress
836,Eagle's Nest
837,Eastern Supply & Distribution
838,"Twilight Creations, Inc."
839,Rohrwood Enterprises
