bgg_id,name
4219,Traditional Games: Morris
4220,Category: n in a row
4246,Series: One Page Wars (paperworlds)
4251,Series: Blue & Gray (SPI)
4254,Series: Corps Command
4255,Series: Central Front (SPI)
4256,Series: Literature (Kosmos)
4260,Series: Bitter Victory
4263,Authors: J.R.R. Tolkien
4270,Series: Glory (Richard Berg)
4271,Series: Triumph & Glory
4272,Series: Jours de Gloire (Frédéric Bey)
4273,Series: Jours de Gloire Campagne (Frédéric Bey)
4280,Game: MindTrap
4305,Series: Oz Trilogy (Lloyd Krassner)
4309,Series: M.I.G. (Compete Now)
4311,Series: Arkham Horror Files (Fantasy Flight Games)
4314,Series: T3 System / Schwerpunkt (Dirk Blennemann)
4327,Setting: Warhammer Fantasy Wargames
4328,Setting: Warhammer Fantasy Board Games
4329,"Setting: Warhammer 40,000 Board Games"
4330,Setting: Warhammer Fantasy Card Games
4341,"Setting: Warhammer 40,000 Wargames"
4347,Admin: Miscellaneous Placeholder
4388,Series: The Sun Never Sets System (Decision Games)
4390,Game: Bethump'd
4394,Series: Cirkle
4400,Game: T.E.G.
4401,Series: History of War (alphaBIT)
4451,Series: D (JD Games)
4455,Series: Struggle for Europe (Clash of Arms)
4461,Game: Sorry!
4462,Series: Monopoly Derivatives (Official)
4474,Game: Cartagena
4503,Series: ARC System
4505,Series: Fighting Wings (J.D. Webster)
4534,Series: Tilsit Collection
4538,Series: Hero Immortal King
4556,Series: Napoleon & the Archduke Charles (3W)
4563,Series: Pocket Battles (Z-Man)
4571,Game: Race for the Galaxy
4576,Series: Men of Iron (GMT)
4587,Series: Pacific Naval Engagements system (GDW)
4611,Game: Command at Sea
4624,Series: My Very First Games (HABA)
4644,Series: D-Day (Decision Games)
4661,Magazine: Battles
4671,Game: Descent – Journeys in the Dark
4683,Game: A Game of Thrones – The Board Game
4684,Game: Lord of the Rings (Reiner Knizia's co-op game)
4685,TV Shows: Battlestar Galactica
4686,Series: Warp Skirmish
4705,Organizations: The Game Artisans of Canada
4711,Game: Scrabble
4712,Setting: Legend of the Five Rings
4844,Series: Warp Quest (Warp Spawn Games)
4890,Game: UNO
4891,Series: 3M Bookshelf Series
4892,Game: Flying Colors (GMT)
4906,Series: OctoPi games
4943,"Setting: Warhammer 40,000 Card Games"
4947,Series: Napoleonic Wars (GMT)
4970,Series: Panzer General (Petroglyph)
4982,Series: Mysteries by Vincent
4983,Series: How to Host ...
4985,Series: Max Haines invites you to An Evening of Murder
4988,"Series: Sports Illustrated Line (Time, Inc)"
4990,Series: Take It ...
4992,Series: Murder Mystery Party
5007,Series: 007 James Bond Action Episode Games
5008,Series: Wooden Balance (Daiso)
5012,Game: 6 nimmt!
5013,Setting: Warcraft
5061,Components: Three Dimensional Chess
5063,Game: Battalions In Crisis!
5064,Series: 100 Points Card Games
5065,Game: Compact Combat
5066,Game: Yahtzee
5068,Books: A Song of Ice and Fire
5089,Setting: Mutant Chronicles
5132,Game: Mr. Jack
5137,Setting: The Realms of Terrinoth
5141,Theme: Cthulhu Mythos
5145,TV Shows: Fredi Ja Batonaatori Seiklused
5178,Game: Jungle Speed
5201,Series: Battlefield Evolution
5204,Series: The Fantasy Trip (Steve Jackson Games)
5226,Series: Campaigns In The Valley (Robert G. Markham)
5228,Game: War (Grow Jogos)
5257,Series: action engine (Crooked Dice Game Design Studio)
5301,Game: The Red Dragon Inn
5304,Series: Reaction System
5321,Game: Thunderstone
5337,Collectible: Living Card Game (Fantasy Flight Games)
5338,Comic Books: Marvel Universe
5365,Series: Big Six Mini Quiz (Novacarta)
5389,Game: Chez Geek
5427,Comic Books: DC Universe
5489,Series: Activity (Piatnik)
5549,History: Age of Discovery
5551,Sports: Football / Soccer
5552,Mechanism: Finger Flicking Games
5555,Series: Song of Blades and Heroes
5563,Series: Die wilden Fussballkerle (Kosmos)
5569,Game: Capitaly (Oliver Games)
5570,Video Game Theme: Honfoglaló
5573,Sports: Rugby
5574,Sports: Basketball
5586,Sports: Baseball
5589,Series: Fantasy Strike (Sirlin)
5591,Game: Tannhäuser
5597,Brands: Disney
5601,Theme: Anime / Manga
5602,Movies: Star Wars
5603,Movies: Indiana Jones
5605,Movies: Jurassic Park
5606,Ancient: Rome
5607,Components: 3-Dimensional (3D)
5608,Books: Harry Potter
5610,Theme: Steampunk
5611,Theme: Cyberpunk
5613,Theme: Vikings
5614,Country: Portugal
5615,Creatures: Monsters
5616,Video Game Theme: Pokémon
5619,Toys: Transformers
5624,Series: Victory in the West Game System (SPI)
5625,Game: Pogs
5626,Sports: Tennis
5628,Sports: Ice Hockey
5634,Video Game Theme: SEGA
5635,Video Game Theme: Nintendo
5636,TV Shows: The Simpsons
5637,TV Shows: Family Guy
5640,Sports: American Football / Gridiron
5641,Game: Railways of the World
5642,Game: Jenga (Official)
5651,Series: Ausgerechnet ...
5652,Sports: Golf
5653,Characters: Dragon Ball
5658,Game: Subbuteo
5659,Books: The Chronicles of Narnia
5660,Folk Tales & Fairy Tales: Robin Hood
5663,Sports: Bicycling / Cycling
5664,Sports: Wrestling
5666,Players: Games with Solitaire Rules
5679,Creatures: Aliens / Extraterrestrials
5680,TV Shows: Ben 10
5681,TV Shows: The Powerpuff Girls
5682,TV Shows: Power Rangers
5699,Series: Monster Maker (Arclight)
5700,Sports: Bowling
5701,Theme: Ninjas
5702,Game: Brainbox
5705,TV Shows: Doctor Who
5706,Sports: Cricket
5712,Sports: Athletics / Track and Field
5713,Magazine: Dragon
5714,TV Shows: Scooby-Doo
5715,Series: Top 3 (Kosmos)
5723,Series: War of the Ring (Nexus/Ares Games)
5730,Sports: Horse Racing
5731,Series: World in Flames (ADG)
5732,Sports: Winter Sports
5733,Comic Strips: Peanuts
5741,Series: Sportz Dice (Tevele)
5742,Authors: William Shakespeare
5743,Theme: Circus
5744,Books: James Bond
5752,Series: Fantasy Flight Games Toys
5753,Series: Ultimate Quiz Kit
5772,Game: Flames of War
5780,Magazine: Board Wargame (Formosa Force Games)
5786,Sports: Combat Sports / Martial Arts
5803,Series: Sandy Hook Battle Games
5809,Setting: Zavandor
5811,Series: ZBall
5816,Series: Mörderische Dinnerparty (Blaubart Verlags GmbH)
5817,Series: Ligretto (Schmidt Spiele)
5818,Series: Pure Card Line (Small Box Games)
5820,Sports: Australian Football
5821,Video Game Theme: Carmen Sandiego
5828,Game: Illuminati
5829,Series: 1 on 1 Sports Bucket
5831,Sports: Sailing
5832,Sports: Greyhound Racing
5834,Theme: Fishing / Angling
5835,Toys: Barbie
5836,Books: Twilight
5837,Sports: Olympics
5838,Books: Dune
5839,Sports: Boxing
5840,Sports: Curling
5841,Theme: Food / Cooking
5842,Magazine: Alea
5858,Series: Folio (Decision Games)
5860,TV Shows: Spongebob Squarepants
5861,TV Shows: Sesame Street
